year,state,state_po,FlipType,TotalVisits,VisitChangeFromPrevYear,VisitChangeToNextYear,VisitChange2YearsAfter
1984,HAWAII,HI,DEMOCRAT->REPUBLICAN,3624400,23.07086320064381,-9.563348416289593,2.2397086414303056
1988,HAWAII,HI,REPUBLICAN->DEMOCRAT,3277786,-9.563348416289593,13.051187600410765,26.11332771572031
1988,OREGON,OR,REPUBLICAN->DEMOCRAT,468994,-6.1908809969096605,9.063228953888537,12.27371778743438
1988,WASHINGTON,WA,REPUBLICAN->DEMOCRAT,5928026,6.4163690922838414,2.4528063810786254,5.08088189896603
1988,WEST VIRGINIA,WV,REPUBLICAN->DEMOCRAT,400802,73.28606325255626,135.05621229434982,209.38892520496407
1992,ARKANSAS,AR,REPUBLICAN->DEMOCRAT,3474833,-35.6643818864406,2.265547725602928,-2.599088934633693
1992,CALIFORNIA,CA,REPUBLICAN->DEMOCRAT,8958851,2.987456105450609,4.271965233041604,-1.3962504789955765
1992,COLORADO,CO,REPUBLICAN->DEMOCRAT,4317930,7.443640940323768,-1.3580349843559296,-0.3250863260868055
1992,KENTUCKY,KY,REPUBLICAN->DEMOCRAT,2565946,34.43436311035062,-22.48153312657398,-28.232277686280227
1992,MAINE,ME,REPUBLICAN->DEMOCRAT,2634689,-43.83474679697691,12.248808113595192,3.3068419080961737
1992,MICHIGAN,MI,REPUBLICAN->DEMOCRAT,22924,-13.987693231277202,2.8616297330308846,-7.337288431338336
1992,MISSOURI,MO,REPUBLICAN->DEMOCRAT,2580928,-1.9967624993687139,59.1698412354006,55.162871649267245
1992,MONTANA,MT,REPUBLICAN->DEMOCRAT,2206231,20.863938765761066,-21.33375879497659,-21.217723801360783
1992,NEVADA,NV,REPUBLICAN->DEMOCRAT,70845,-5.700937067404962,23.34250829275178,14.397628625873384
1992,NEW MEXICO,NM,REPUBLICAN->DEMOCRAT,1279885,-4.659301432548216,-8.180891251948417,-23.031444231317657
1992,OHIO,OH,REPUBLICAN->DEMOCRAT,1439254,16.123842496407573,140.78960350292581,131.34999103702333
1992,TENNESSEE,TN,REPUBLICAN->DEMOCRAT,18593660,3.889002901558816,8.33604034923732,13.53598484644766
1996,ARIZONA,AZ,REPUBLICAN->DEMOCRAT,8482063,7.890197544950205,3.989595455728164,4.3944851623950445
1996,COLORADO,CO,DEMOCRAT->REPUBLICAN,4259291,-1.3580349843559296,1.0471695876144644,-9.26287966706196
1996,FLORIDA,FL,REPUBLICAN->DEMOCRAT,1369995,-2.5696114220123785,13.069025799364232,30.623396435753413
1996,MONTANA,MT,DEMOCRAT->REPUBLICAN,1735559,-21.33375879497659,0.14750290828488113,17.715848323220357
2000,ARIZONA,AZ,DEMOCRAT->REPUBLICAN,8820463,3.989595455728164,0.3893559782519353,-11.862223105521785
2000,ARKANSAS,AR,DEMOCRAT->REPUBLICAN,3384519,-4.756867555522537,13.946324426011495,1.1126544126358873
2000,FLORIDA,FL,DEMOCRAT->REPUBLICAN,1549040,13.069025799364232,15.525357640861436,1.9473351236895107
2000,KENTUCKY,KY,DEMOCRAT->REPUBLICAN,1841521,-7.418547852728043,7.548054027078703,-68.28067667976634
2000,MISSOURI,MO,DEMOCRAT->REPUBLICAN,4004642,-2.517417593077412,-22.496068312723086,-43.9188072242163
2000,NEVADA,NV,DEMOCRAT->REPUBLICAN,81045,-7.2520656428097325,-0.6120056758590907,-13.720772410389289
2000,OHIO,OH,DEMOCRAT->REPUBLICAN,3329714,-3.9202741017793876,-0.6878368532552646,-15.054656345860334
2000,TENNESSEE,TN,DEMOCRAT->REPUBLICAN,21110495,4.799828829305137,-3.3001547334631427,-3.9661078529897096
2000,WEST VIRGINIA,WV,DEMOCRAT->REPUBLICAN,1134931,-8.476037408561195,1.696226466631011,7.077346552345473
2004,NEW MEXICO,NM,DEMOCRAT->REPUBLICAN,869070,-11.779305640289552,-2.8981554995569976,-4.671890641720459
2008,COLORADO,CO,REPUBLICAN->DEMOCRAT,3931865,1.7363829766313958,6.427560457950617,46.33806094563267
2008,FLORIDA,FL,REPUBLICAN->DEMOCRAT,1579205,-11.753283256981986,7.874215190554741,-3.075344872894906
2008,INDIANA,IN,REPUBLICAN->DEMOCRAT,1863553,-0.0670312091947514,1.6678355807428067,-8.589881801054222
2008,NEVADA,NV,REPUBLICAN->DEMOCRAT,69925,-13.189487144471068,36.63925634608509,108.05577404361817
2008,NEW MEXICO,NM,REPUBLICAN->DEMOCRAT,843883,-2.8981554995569976,-1.8266750248553412,21.173906809356275
2008,OHIO,OH,REPUBLICAN->DEMOCRAT,2828437,-14.466324201776274,-18.68721134676148,-14.32052402086382
2008,VIRGINIA,VA,REPUBLICAN->DEMOCRAT,1086840,-14.554051143037292,12.358948879319863,33.25816127488867
2012,INDIANA,IN,DEMOCRAT->REPUBLICAN,1894634,1.6678355807428067,-10.089442076939397,21.23972228937093
2016,FLORIDA,FL,DEMOCRAT->REPUBLICAN,1530639,-10.150303336258588,-24.14775789719196,
2016,MICHIGAN,MI,DEMOCRAT->REPUBLICAN,25039,49.89822796934866,-73.46938775510205,
2016,OHIO,OH,DEMOCRAT->REPUBLICAN,2423390,5.370234372995821,13.709638151515028,
2020,ARIZONA,AZ,REPUBLICAN->DEMOCRAT,6955948,-33.207788129986525,,
2020,MICHIGAN,MI,REPUBLICAN->DEMOCRAT,6643,-73.46938775510205,,
