ElectionYear,NumFlips,NumNoFlips,FlipAvgChange1Yr,NoFlipAvgChange1Yr,Difference1Yr,FlipAvgChange2Yr,NoFlipAvgChange2Yr,Difference2Yr,Decade
1980,7,19,12.622572445275338,7.414644286022326,5.2079281592530124,43.36830372766885,36.46224604861378,6.906057679055074,1980
1984,2,25,31.861357418133334,27.95461758130216,3.906739836831175,154.77968267844014,31.559715299173636,123.2199673792665,1980
1988,4,24,39.90585880743194,5.667327065558228,34.238531741873715,63.2142131517712,17.56647212576652,45.64774102600468,1980
1992,12,16,16.6609771689776,5.586618683290345,11.074358485687254,11.134513181391226,9.323643660689905,1.8108695207013206,1990
1996,4,24,4.563323437747935,-1.6712541418868518,6.234577579634787,10.867712563576713,-1.970494537567119,12.838207101143832,1990
2000,9,19,1.3343614403926662,-0.8191979065237334,2.1535593469163996,-16.296211947785878,-4.357403776141068,-11.938808171644808,2000
2004,1,27,-2.8981554995569976,-8.123348737764653,5.225193238207655,-4.671890641720459,-1.8740562307326438,-2.7978344109878153,2000
2008,7,21,6.350561440433757,6.9031756202352215,-0.5526141798014645,26.12002176838326,29.50163790745488,-3.381616139071621,2000
2012,1,27,-10.089442076939397,21.181921757772102,-31.2713638347115,21.23972228937093,-9.311238277897154,30.550960567268085,2010
2016,3,25,-27.969169166926324,-23.00666192315994,-4.962507243766385,,,,2010
2020,2,26,,,,,,,2020
